,Unnamed: 0,hue,lightness,chroma,red,green,blue,hlc,rgb,rgb_front
0,0,0,27,0,65,67,66,000-27-00,65-67-66,"(65,67,66)"
1,1,0,36,0,86,89,89,000-36-00,86-89-89,"(86,89,89)"
2,2,0,47,0,116,117,116,000-47-00,116-117-116,"(116,117,116)"
3,3,0,55,0,136,138,138,000-55-00,136-138-138,"(136,138,138)"
4,4,0,64,0,159,161,160,000-64-00,159-161-160,"(159,161,160)"
5,5,0,73,0,184,188,185,000-73-00,184-188-185,"(184,188,185)"
6,6,1,22,8,69,49,56,001-22-08,69-49-56,"(69,49,56)"
7,7,1,25,21,97,43,59,001-25-21,97-43-59,"(97,43,59)"
8,8,1,27,21,110,45,62,001-27-21,110-45-62,"(110,45,62)"
9,9,1,35,31,160,36,70,001-35-31,160-36-70,"(160,36,70)"
10,10,1,37,22,148,68,86,001-37-22,148-68-86,"(148,68,86)"
11,11,1,39,5,107,90,94,001-39-05,107-90-94,"(107,90,94)"
12,12,1,42,9,128,97,103,001-42-09,128-97-103,"(128,97,103)"
13,13,1,43,29,182,63,90,001-43-29,182-63-90,"(182,63,90)"
14,14,1,43,34,197,52,88,001-43-34,197-52-88,"(197,52,88)"
15,15,1,48,6,134,110,116,001-48-06,134-110-116,"(134,110,116)"
16,16,1,50,9,151,114,120,001-50-09,151-114-120,"(151,114,120)"
17,17,1,53,9,161,121,127,001-53-09,161-121-127,"(161,121,127)"
18,18,1,54,6,158,132,136,001-54-06,158-132-136,"(158,132,136)"
19,19,1,62,12,198,146,155,001-62-12,198-146-155,"(198,146,155)"
20,20,1,66,9,195,158,163,001-66-09,195-158-163,"(195,158,163)"
21,21,2,23,12,78,47,56,002-23-12,78-47-56,"(78,47,56)"
22,22,2,24,0,59,58,59,002-24-00,59-58-59,"(59,58,59)"
23,23,2,25,9,81,58,64,002-25-09,81-58-64,"(81,58,64)"
24,24,2,25,15,88,47,57,002-25-15,88-47-57,"(88,47,57)"
